,Local_Active,Local_New,Local_Incidence,FL_Active,FL_New,FL_Incidence,Test_Rate,Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
44,58,1,12.719298245614036,8552.0,470.0,39.81378026070763,2193.2823507392363,0,8,14,13,12,9,14
45,55,2,12.061403508771932,7802.0,495.0,36.32216014897579,2260.914180765187,0,7,14,12,11,9,14
46,50,2,10.964912280701755,7741.0,765.0,36.03817504655493,2321.6650843518687,0,6,14,11,10,9,14
47,47,5,10.30701754385965,7746.0,302.0,36.06145251396648,2417.701341041227,0,5,14,10,10,9,14
48,62,17,13.596491228070176,7829.0,756.0,36.447858472998135,2485.474463191188,0,4,14,9,10,8,14
49,69,8,15.131578947368423,7825.0,589.0,36.4292364990689,2538.303588358396,0,3,14,8,10,8,14
50,72,7,15.789473684210527,7570.0,372.0,35.242085661080075,2642.431174016039,0,2,14,7,10,8,14
51,73,4,16.00877192982456,8169.0,897.0,38.030726256983236,2729.7826748162706,0,1,14,6,10,8,14
52,71,3,15.570175438596493,8153.0,431.0,37.956238361266294,2801.177585078346,0,0,14,5,10,7,14
53,73,8,16.00877192982456,7921.0,760.0,36.87616387337057,2834.7353354778484,0,0,14,4,10,7,14
54,74,7,16.2280701754386,8122.0,886.0,37.81191806331471,2834.7353354778484,0,0,14,3,10,7,14
55,70,4,15.350877192982457,8148.0,626.0,37.93296089385475,2933.4887562874987,0,0,14,2,10,7,14
56,69,1,15.131578947368423,8117.0,768.0,37.78864059590316,3034.733128541429,0,0,14,1,10,7,14
57,75,7,16.447368421052634,8477.0,830.0,39.464618249534446,3149.3634548183545,0,0,14,0,9,7,14
58,86,13,18.85964912280702,8429.0,447.0,39.24115456238361,3333.0094320458434,0,0,14,0,8,7,14
59,105,21,23.026315789473685,8147.0,483.0,37.92830540037244,3591.38395260171,0,0,14,0,7,7,14
60,101,1,22.149122807017545,9001.0,1156.0,41.90409683426443,3789.6404076462986,0,0,14,0,7,7,14
61,92,8,20.17543859649123,8975.0,730.0,41.783054003724395,3890.056014746805,0,0,14,0,7,7,14
62,99,15,21.710526315789476,9019.0,633.0,41.98789571694599,3987.5569758583038,1,0,14,0,7,7,14
63,96,4,21.05263157894737,9383.0,736.0,43.68249534450651,4056.456227208667,2,0,14,0,7,7,14
64,95,3,20.833333333333336,9350.0,864.0,43.52886405959031,4228.727635504616,3,0,14,0,7,7,14
65,94,2,20.6140350877193,9421.0,502.0,43.85940409683426,4298.5161798005065,4,0,14,0,7,6,14
66,119,33,26.096491228070178,8980.0,319.0,41.80633147113594,4346.691646331267,5,0,14,0,7,6,14
67,113,1,24.780701754385966,8700.0,606.0,40.502793296089386,4430.708877755605,6,0,14,0,7,6,14
68,125,16,27.412280701754387,9237.0,1163.0,43.002793296089386,4577.9450600405435,7,0,14,0,7,6,14
69,131,7,28.7280701754386,9362.0,893.0,43.584729981378025,4632.555096470359,8,0,14,0,7,5,14
